query,rule_ids
I need a web server with guaranteed CPU availability and no network packet loss,r31;r22;r29;r20;r30;r28;r26
Deploy a database server that must maintain memory above 50% free at all times,r2;r4;r32;r1;r5;r3;r33
Create a video streaming VM with protection against overheating and fan failures,r13
Set up a game server with zero network latency spikes and stable SSH access,r29;r31;r30;r28;r13;r26
Provision an e-commerce host with guaranteed CPU headroom below 90% utilization,None
Deploy a critical analytics server with no memory exhaustion risks,r5;r3;r4;r10;r2;r32;r1;r33;r8;r12
Create a high-security server with MTU 1500 enforcement and gateway monitoring,None
Implement a financial trading system with network interface stability guarantees,r18;r28;r30;r19;r21;r31;r24;r20;r22;r26;r17;r29;r23;r27;r33;r25;r16
Build a IoT edge node with temperature controls and fan speed safeguards,r13
Deploy a machine learning host protected against CPU overload scenarios,r9;r7;r10;r8
Setup a reverse proxy with DPDK buffer protection and IP fragment security,r26
Create a Kubernetes master node with network error rate monitoring,r30;r28;r19;r21;r33;r31;r24;r26;r29;r27;r20;r23;r25;r18;r22;r16;r17
Setup a blockchain node with DPDK network safeguards and CPU headroom,r30;r28;r31;r26;r29;r33;r27;r24;r23;r25;r21;r19;r20;r22;r16
Implement a real-time streaming service with RX/TX error prevention,None
Deploy a high-frequency trading system with zero packet drops,r20;r29
Create an AI inference server with memory buffer monitoring,r32;r33;r4;r2;r5;r3;r1
Provision a medical imaging with guaranteed CPU availability,None
Setup a DNS server with ARP consistency and MTU compliance,None
I want to deploy a IoT gateway that has at least 16GB of RAM and no packet loss allowed,r33;r2;r4;r3;r32
Implement a backup server with network flap protection,r18;r28;r30;r19;r21;r20;r24;r31;r26;r22;r29;r23;r33;r27;r17;r25;r16
Deploy a video rendering farm with thermal controls and memory safeguards,r2;r32;r4;r3;r5;r1;r33
Setup a mail server with RX error monitoring and buffer protection,r33
Implement a system with CPU utilization guarantees,r7;r9
Deploy a monitoring server with packet integrity safeguards,r31
Create a low-latency database cluster with network stability,r28;r30;r19;r21;r31;r20;r22;r29;r24;r23;r13;r17;r27;r26;r18;r25;r33;r16
Provision a node with DPDK optimizations and error detection,r30;r28;r33
Setup a virtualization host with memory buffer guarantees,r4;r32;r5;r2;r33;r1;r3
Implement a system with temperature fail-safes,r11
Deploy a mobile backend with SSH access monitoring,r15
Create a distributed cache system with network drop prevention,r29;r20;r28;r30;r26;r24;r33;r31;r23;r27;r25;r21;r19;r18;r16;r22;r17
Provision a big data analytics node with CPU thermal protection,None
Setup a compliance server with memory usage auditing,r1;r4;r2;r32;r5;r3;r33
Implement a payment gateway with packet integrity checks,None
Create a federated learning node with network buffer guarantees,r23;r25;r33;r28;r30;r26;r24;r31;r21;r19;r29;r27;r20;r18;r16;r22;r17
Provision a quantum computing interface with stability monitoring,r18
Setup a AR/VR rendering farm with memory safeguards,r32;r2;r4;r33;r3;r5;r1
Implement a digital twin system with DPDK protections,r33
Deploy a edge computing node with fan speed monitoring,r13
Create a smart city IoT hub with network error detection,r21;r19;r30;r28;r20;r33;r22;r31;r29;r24;r26;r27;r17;r18;r16
Provision a robotics control server with CPU guarantees,None
Setup a satellite ground station with packet loss prevention,r31;r22
Implement a weather modeling cluster with thermal controls,None
Deploy a 5G core network element with DPDK optimizations,r30;r28;r31;r24;r26;r29;r33;r27;r23;r19;r21;r25;r20;r18;r22;r16;r17
Deploy a High-Performance Computing (HPC) Cluster with Thermal and Memory safeguards,r33;r2;r13;r4;r3;r32;r1;r5
Provision a Low-Latency Cloud Gaming Platform with Zero Packet Loss,r31;r22;r13;r20
Implement an Autonomous Vehicle Control System with Real-Time network Stability,r30;r28;r19;r21;r26;r24;r31;r29;r20;r18;r27;r22;r33;r25;r23;r17;r16
Implement a Real-Time Video Surveillance System with Frame Loss Prevention,None
Create a Cloud-Based AI Training Cluster with GPU Utilization Monitoring,None
Setup a Global Content Delivery Network (CDN) with Packet integrity Assurance,r31;r29;r20;r22;r30;r28;r19;r21;r24;r26;r27;r23;r17;r33;r18;r25;r16
Implement a Satellite Communication Hub with Signal Integrity Checks,None
Build a Decentralized Blockchain Network with Consensus Stability,r30;r28;r21;r19;r20;r31;r29;r22;r26;r24;r23;r27
Setup an Edge AI Inference Node with Thermal and Memory Safeguards,r2;r32;r4;r3;r33;r1;r5
Deploy a Backup Server with SSH Access and Network Stability,r15
Create an IoT Temperature Sensor Node with Thermal Thresholds,r11
Deploy a Static Web Server with MTU and Packet Loss Monitoring,r31;r22
Setup a Digital Signage System with Fan Speed Safeguards,r13
Create a Home Automation Hub with Stable SSH and Low CPU Load,None
Provision a File Storage Server with Memory and MTU compliance,r2;r4;r32;r33;r3;r1;r5
Setup a Maritime Navigation System with Network Stability,r30;r28;r19;r21;r20;r22;r31;r24;r18;r26;r29;r27;r17;r25;r23;r16;r33
Provision a Smart Agriculture IoT Node with Thermal Controls,None
Create a Disaster Recovery Site with Minimal Packet Loss,r22;r31
Deploy a Public Transit Scheduling System with ARP Checks,r16
Build a Digital Twin for Industrial Machinery with buffer Monitoring,None
Setup a Cryptocurrency Mining Rig with Thermal Safeguards,None
Create a Wildlife Tracking System with Network Error Detection,r30;r28;r21;r19;r33;r26;r31;r24;r29;r20;r18;r27
Provision a Voice-over-IP (VoIP) Gateway with Packet Integrity,None
Implement a Smart Metering Hub with Memory Stability,r2;r32;r1;r33;r4;r3;r5
Deploy a Quantum Computing Interface with Fan Speed Alerts,r13
Build a Satellite IoT Gateway with MTU Compliance,None
Setup a Telemetry Server for Drones with Low Latency,r13
Create a Biometric Authentication System with SSH access,r15
Provision a Genomics Data Processing with CPU Headroom,None
Deploy a Fleet Management System with No Rx Errors,None
Implement a Smart Lighting Controller with Thermal Limits,r11
Build a Hydroponics Monitoring Node with Network Stability,r30;r28;r19;r21;r31;r20;r29;r26;r24;r22;r18;r23;r27;r17;r25;r33;r16
Setup a E-Commerce API Gateway with MTU Enforcement,None
Create a Robotics Simulation with memory Guarantees,r2;r4;r32;r1;r3;r33;r5
Provision a Spacecraft Telemetry Relay with DPDK Buffers,r33;r25
Deploy a Waste Management IoT Sensor with Fan Alerts,r12;r13;r8;r3
Implement a Air Traffic Control Backup System with ARP Checks,r16
Build a Nuclear Plant Sensor Network with Zero Packet Loss,r31;r22;r20;r29;r30;r28;r19;r21;r26;r24;r27;r16;r17;r25;r18;r23
Setup a Railway Signaling System with CPU Stability,None
Create a Augmented Reality Classroom with SSH Access,r15
Provision a Wind Turbine Monitoring Node with Thermal Controls,None
Deploy a Underwater Data Acoustic Link with Buffer Protection,None
Build a Lunar Rover Communication Hub with DPDK Optimizations,None
Deploy a load balancer with 3GHz of processing capabilites,None
